UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
2202,H70453,H,299.2,308.0,1767,51.2,226,1,0,0,1,0,0
2203,H70454,H,299.2,308.0,1677,53.3,231,1,0,0,1,0,0
2204,L51120,L,299.2,308.0,1716,28.1,233,0,0,0,0,0,0
2205,L51121,L,299.2,308.1,1580,51.7,235,1,1,0,0,1,0
2206,M10631,M,299.2,308.1,1688,26.6,238,0,0,0,0,0,0
2207,M10632,M,299.2,308.0,1713,46.3,241,0,0,0,0,0,0
2208,L51122,L,299.2,308.0,1684,37.1,2,0,0,0,0,0,0
2209,L51123,L,299.2,308.0,1586,53.4,4,0,0,0,0,0,0
2210,L51124,L,299.2,308.0,1538,42.5,6,0,0,0,0,0,0
2211,H70455,H,299.1,307.9,1656,49.3,17,0,0,0,0,0,0
2212,L51125,L,299.2,308.0,1572,52.4,19,0,0,0,0,0,0
2213,H70456,H,299.2,308.0,1701,37.1,24,0,0,0,0,0,0
2214,L51126,L,299.2,308.0,1741,39.7,26,0,0,0,0,0,0
2215,H70457,H,299.2,308.0,1561,28.9,31,0,0,0,0,0,0
2216,L51127,L,299.2,308.0,1639,37.0,33,0,0,0,0,0,0
2217,L51128,L,299.1,308.0,1510,59.3,9,1,0,0,1,0,0
2218,H70458,H,299.2,308.0,1563,47.6,6,0,0,0,0,0,0
2219,H70459,H,299.1,307.9,1604,29.6,11,0,0,0,0,0,0
2220,L51129,L,299.1,307.9,1500,56.3,13,0,0,0,0,0,0
2221,L51130,L,299.1,307.9,1531,43.9,15,0,0,0,0,0,0
2222,L51131,L,299.1,307.9,1681,48.3,17,0,0,0,0,0,0
2223,L51132,L,299.0,307.8,1658,44.9,19,0,0,0,0,0,0
2224,L51133,L,299.0,307.9,1656,44.2,21,0,0,0,0,0,0
2225,H70460,H,299.0,307.8,1580,20.0,26,1,0,0,1,0,0
2226,L51134,L,299.0,307.8,1768,51.1,28,1,0,0,1,0,0
2227,M10633,M,299.0,307.9,1730,17.5,31,1,0,0,1,0,0
2228,L51135,L,299.0,307.8,1754,50.2,33,1,0,0,1,0,0
2229,L51136,L,299.1,307.7,1712,41.0,35,0,0,0,0,0,0
2230,M10634,M,299.0,307.9,1586,48.4,38,0,0,0,0,0,0
2231,L51137,L,299.0,307.8,1826,41.6,40,0,0,0,0,0,0
2232,M10635,M,299.0,307.8,1647,50.4,43,0,0,0,0,0,0
2233,L51138,L,299.0,307.8,1629,40.2,45,0,0,0,0,0,0
2234,H70461,H,298.9,307.8,1600,42.8,50,0,0,0,0,0,0
2235,M10636,M,298.9,307.7,1722,44.0,53,0,0,0,0,0,0
2236,H70462,H,298.9,307.7,1504,58.8,58,1,0,0,1,0,0
2237,L51139,L,298.9,307.7,1585,46.0,60,0,0,0,0,0,0
2238,L51140,L,298.8,307.6,1665,26.8,62,0,0,0,0,0,0
2239,L51141,L,298.8,307.7,1611,34.4,64,0,0,0,0,0,0
2240,M10637,M,298.8,307.6,1556,46.0,67,0,0,0,0,0,0
2241,L51142,L,298.9,307.6,1744,52.6,69,1,0,0,1,0,0
2242,L51143,L,298.9,307.6,1778,32.8,71,0,0,0,0,0,0
2243,L51144,L,298.9,307.6,1555,62.4,73,1,0,0,1,0,0
2244,L51145,L,298.9,307.6,1592,41.8,75,0,0,0,0,0,0
2245,L51146,L,298.8,307.5,1579,44.2,77,0,0,0,0,0,0
2246,L51147,L,298.7,307.5,1682,27.5,79,0,0,0,0,0,0
2247,L51148,L,298.7,307.5,2173,51.2,81,1,0,0,1,0,0
2248,M10638,M,298.7,307.5,1699,35.5,84,0,0,0,0,0,0
2249,L51149,L,298.7,307.5,1756,32.5,86,0,0,0,0,0,0
2250,L51150,L,298.7,307.5,1684,36.8,88,0,0,0,0,0,0
2251,M10639,M,298.6,307.4,1498,53.8,91,0,0,0,0,0,0
2252,M10640,M,298.7,307.5,1635,44.7,94,0,0,0,0,0,0
2253,L51151,L,298.7,307.5,1599,31.1,96,0,0,0,0,0,0
2254,M10641,M,298.7,307.5,1785,34.7,99,0,0,0,0,0,0
2255,H70463,H,298.7,307.5,1509,54.1,104,0,0,0,0,0,0
2256,M10642,M,298.7,307.5,1611,37.6,107,0,0,0,0,0,0
2257,H70464,H,298.8,307.6,1694,45.6,112,0,0,0,0,0,0
2258,M10643,M,298.7,307.5,1545,48.1,115,0,0,0,0,0,0
2259,L51152,L,298.8,307.6,1808,5.8,117,1,0,0,1,0,0
2260,L51153,L,298.8,307.6,1347,52.6,12,0,0,0,0,0,0
2261,M10644,M,298.8,307.5,1665,31.5,15,0,0,0,0,0,0
2262,H70465,H,298.8,307.6,1722,36.4,20,0,0,0,0,0,0
2263,L51154,L,298.8,307.6,1514,55.4,22,0,0,0,0,0,0
2264,L51155,L,298.9,307.6,1625,54.5,24,1,0,0,1,0,0
2265,M10645,M,298.9,307.6,1623,44.9,27,0,0,0,0,0,0
2266,L51156,L,298.8,307.5,1710,47.3,29,0,0,0,0,0,0
2267,M10646,M,298.9,307.6,1533,49.8,32,0,0,0,0,0,0
2268,M10647,M,298.9,307.6,1554,54.3,35,0,0,0,0,0,0
2269,M10648,M,298.9,307.6,1437,55.6,38,0,0,0,0,0,0
2270,H70466,H,298.8,307.6,1636,41.1,43,0,0,0,0,0,0
2271,M10649,M,298.8,307.6,1650,32.6,19,0,0,0,0,0,0
2272,M10650,M,298.8,307.6,1750,37.4,22,0,0,0,0,0,0
2273,M10651,M,298.8,307.6,1587,41.3,25,0,0,0,0,0,0
2274,H70467,H,298.8,307.6,1615,39.5,30,0,0,0,0,0,0
2275,H70468,H,298.9,307.6,1642,29.9,35,0,0,0,0,0,0
2276,L51157,L,298.8,307.6,1630,44.4,37,0,0,0,0,0,0
2277,M10652,M,298.8,307.6,1910,24.3,40,0,0,0,0,0,0
2278,L51158,L,298.8,307.6,1331,40.9,42,0,0,0,0,0,0
2279,H70469,H,298.8,307.6,1638,41.5,47,0,0,0,0,0,0
2280,M10653,M,298.9,307.6,1750,41.2,50,0,0,0,0,0,0
2281,L51159,L,298.9,307.6,1559,48.5,52,0,0,0,0,0,0
2282,L51160,L,298.8,307.6,1660,47.2,54,0,0,0,0,0,0
2283,L51161,L,298.8,307.5,1640,62.2,16,1,0,0,1,0,0
2284,M10654,M,298.9,307.7,1652,34.8,19,0,0,0,0,0,0
2285,L51162,L,299.0,307.8,1577,42.8,21,0,0,0,0,0,0
2286,L51163,L,298.9,307.6,1723,42.2,23,0,0,0,0,0,0
2287,H70470,H,298.9,307.6,1686,41.7,28,0,0,0,0,0,0
2288,M10655,M,298.9,307.7,1710,27.4,31,0,0,0,0,0,0
2289,L51164,L,298.9,307.7,1767,28.2,33,0,0,0,0,0,0
2290,L51165,L,298.9,307.6,1736,40.1,35,0,0,0,0,0,0
2291,H70471,H,298.9,307.6,1727,24.2,40,0,0,0,0,0,0
2292,M10656,M,298.9,307.6,1695,36.7,43,0,0,0,0,0,0
2293,M10657,M,298.9,307.6,1731,33.5,46,0,0,0,0,0,0
2294,L51166,L,298.9,307.6,1624,37.0,48,0,0,0,0,0,0
2295,L51167,L,298.9,307.6,1698,51.3,50,1,0,0,1,0,0
2296,L51168,L,298.9,307.6,1613,29.2,52,0,0,0,0,0,0
2297,M10658,M,298.9,307.6,1593,48.7,55,0,0,0,0,0,0
2298,L51169,L,298.8,307.6,1749,34.3,57,0,0,0,0,0,0
2299,L51170,L,298.8,307.6,1578,35.5,59,0,0,0,0,0,0
2300,M10659,M,298.8,307.5,1704,44.7,62,0,0,0,0,0,0
2301,H70472,H,298.9,307.6,1681,37.3,67,0,0,0,0,0,0
2302,M10660,M,298.9,307.6,1816,31.1,70,0,0,0,0,0,0
2303,L51171,L,298.8,307.5,1724,36.3,72,0,0,0,0,0,0
2304,L51172,L,298.8,307.5,1728,22.2,74,0,0,0,0,0,0
2305,L51173,L,298.8,307.5,1651,43.8,76,0,0,0,0,0,0
2306,L51174,L,298.8,307.5,1835,9.0,78,1,0,0,1,0,0
2307,M10661,M,298.9,307.6,1786,48.9,81,1,0,0,1,0,0
2308,L51175,L,298.9,307.7,1626,46.2,83,0,0,0,0,0,0
2309,M10662,M,298.9,307.6,1554,56.0,86,1,0,0,1,0,0
2310,H70473,H,298.9,307.6,1519,61.8,91,1,0,0,1,0,0
2311,H70474,H,299.0,307.7,1618,49.4,96,0,0,0,0,0,0
2312,L51176,L,298.9,307.6,1581,33.7,98,0,0,0,0,0,0
2313,L51177,L,298.9,307.6,1503,61.7,100,1,0,0,1,0,0
2314,L51178,L,298.9,307.6,1621,28.1,102,0,0,0,0,0,0
2315,L51179,L,298.9,307.6,1670,21.0,104,0,0,0,0,0,0
2316,L51180,L,298.9,307.6,1626,58.5,106,1,0,0,1,0,0
2317,L51181,L,298.8,307.6,1621,46.0,108,0,0,0,0,0,0
2318,M10663,M,298.9,307.6,1681,21.2,111,0,0,0,0,0,0
2319,L51182,L,298.9,307.6,1707,26.4,113,0,0,0,0,0,0
2320,H70475,H,298.8,307.6,1599,45.5,118,0,0,0,0,0,0
2321,L51183,L,298.8,307.5,1700,31.3,120,0,0,0,0,0,0
2322,L51184,L,298.8,307.6,1552,32.7,122,0,0,0,0,0,0
2323,L51185,L,298.8,307.6,1450,59.7,124,1,0,0,1,0,0
2324,L51186,L,298.8,307.5,1409,61.5,126,1,0,0,1,0,0
2325,L51187,L,298.7,307.5,1561,41.5,128,0,0,0,0,0,0
2326,H70476,H,298.8,307.5,1593,38.5,133,0,0,0,0,0,0
2327,L51188,L,298.8,307.6,1510,49.0,135,0,0,0,0,0,0
2328,L51189,L,298.8,307.6,2168,34.4,137,0,0,0,0,0,0
2329,M10664,M,298.8,307.6,1932,17.7,140,0,0,0,0,0,0
2330,L51190,L,298.8,307.6,2288,12.4,142,1,0,0,1,0,0
2331,M10665,M,298.8,307.6,1603,39.3,145,0,0,0,0,0,0
2332,L51191,L,298.8,307.6,1623,48.8,147,0,0,0,0,0,0
2333,H70477,H,298.8,307.6,1643,40.2,152,0,0,0,0,0,0
2334,L51192,L,298.7,307.6,1973,48.1,154,1,0,0,1,0,0
2335,L51193,L,298.7,307.5,1722,49.1,156,0,0,0,0,0,0
2336,M10666,M,298.7,307.6,1759,53.9,159,1,0,0,1,0,0
2337,H70478,H,298.8,307.6,1508,41.9,164,0,0,0,0,0,0
2338,L51194,L,298.7,307.5,1765,42.8,166,0,0,0,0,0,0
2339,M10667,M,298.7,307.5,1599,39.6,169,0,0,0,0,0,0
2340,L51195,L,298.8,307.5,1640,37.4,171,0,0,0,0,0,0
2341,L51196,L,298.8,307.0,1757,24.3,173,0,0,0,0,0,0
2342,L51197,L,298.9,307.3,1728,51.7,175,1,0,0,1,0,0
2343,M10668,M,298.8,307.1,1695,36.2,178,0,0,0,0,0,0
2344,L51198,L,298.9,307.6,1710,35.6,180,0,0,0,0,0,0
2345,M10669,M,298.8,307.6,1755,34.6,183,0,0,0,0,0,0
2346,L51199,L,298.8,307.6,1811,26.6,185,0,0,0,0,0,0
2347,H70479,H,298.8,307.6,1700,39.1,190,0,0,0,0,0,0
2348,H70480,H,298.8,307.5,1715,45.2,195,0,0,0,0,0,0
2349,L51200,L,298.8,307.5,1633,32.9,197,0,0,0,0,0,0
2350,L51201,L,298.8,307.5,1440,50.4,199,0,0,0,0,0,0
2351,L51202,L,298.8,307.5,1833,36.3,201,0,0,0,0,0,0
2352,H70481,H,298.8,307.5,1636,24.7,206,0,0,0,0,0,0
2353,L51203,L,298.8,307.5,1531,53.7,208,1,0,0,0,1,0
2354,M10670,M,298.8,307.5,1610,42.0,211,0,0,0,0,0,0
2355,L51204,L,298.8,307.5,1560,48.6,213,0,0,0,0,0,0
2356,M10671,M,298.8,307.5,1539,48.9,216,0,0,0,0,0,0
2357,L51205,L,298.8,307.5,2161,30.5,218,1,1,0,0,0,0
2358,M10672,M,298.9,307.6,1720,34.8,221,0,0,0,0,0,0
2359,H70482,H,298.9,307.6,1652,50.3,226,0,0,0,0,0,0
2360,L51206,L,298.9,307.6,1605,58.4,228,1,0,0,1,1,0
2361,H70483,H,298.9,307.6,1609,40.6,233,0,0,0,0,0,0
2362,L51207,L,298.9,307.6,1645,33.7,235,0,0,0,0,0,0
2363,L51208,L,298.9,307.6,1663,56.8,237,1,1,0,1,1,0
2364,H70484,H,298.9,307.6,1636,33.7,242,0,0,0,0,0,0
2365,M10673,M,298.9,307.5,1584,43.3,245,0,0,0,0,0,0
2366,M10674,M,298.9,307.5,1756,35.7,248,0,0,0,0,0,0
2367,L51209,L,298.8,307.5,1634,42.7,250,0,0,0,0,0,0
2368,L51210,L,298.8,307.5,1654,30.5,252,0,0,0,0,0,0
2369,L51211,L,298.9,307.5,1625,36.3,15,0,0,0,0,0,0
2370,M10675,M,298.9,307.5,1784,33.7,18,0,0,0,0,0,0
2371,L51212,L,298.8,307.4,1668,46.6,20,0,0,0,0,0,0
2372,L51213,L,298.8,307.4,1663,41.6,22,0,0,0,0,0,0
2373,L51214,L,298.8,307.5,1149,48.8,24,0,0,0,0,0,0
2374,L51215,L,298.8,307.4,1715,31.7,26,0,0,0,0,0,0
2375,L51216,L,298.8,307.4,1642,37.9,28,0,0,0,0,0,0
2376,L51217,L,298.8,307.4,1535,46.3,30,0,0,0,0,0,0
2377,H70485,H,298.8,307.4,1551,48.6,35,0,0,0,0,0,0
2378,M10676,M,298.8,307.5,1788,25.5,38,0,0,0,0,0,0
2379,L51218,L,298.7,307.4,1745,43.2,40,0,0,0,0,0,0
2380,M10677,M,298.7,307.4,1597,31.9,43,0,0,0,0,0,0
2381,H70486,H,298.7,307.4,1519,49.1,48,0,0,0,0,0,0
2382,L51219,L,298.7,307.4,1616,58.6,50,1,0,0,1,0,0
2383,L51220,L,298.7,307.4,1749,13.9,52,1,0,0,1,0,0
2384,L51221,L,298.7,307.4,1734,33.4,54,0,0,0,0,0,0
2385,L51222,L,298.6,307.4,1598,42.6,56,0,0,0,0,0,0
2386,M10678,M,298.6,307.3,1702,40.0,1,0,0,0,0,0,0
2387,H70487,H,298.6,307.4,1478,49.4,6,0,0,0,0,0,0
2388,L51223,L,298.6,307.3,1695,40.8,8,0,0,0,0,0,0
2389,M10679,M,298.6,307.3,1489,34.7,11,0,0,0,0,0,0
2390,L51224,L,298.6,307.3,1786,29.8,13,0,0,0,0,0,0
2391,M10680,M,298.6,307.3,1709,28.1,16,0,0,0,0,0,0
2392,M10681,M,298.5,307.3,1728,32.6,19,0,0,0,0,0,0
2393,L51225,L,298.5,307.3,1701,34.3,21,0,0,0,0,0,0
2394,L51226,L,298.5,307.2,1477,43.8,23,0,0,0,0,0,0
2395,M10682,M,298.5,307.2,1781,38.4,26,1,0,0,0,0,1
2396,H70488,H,298.5,307.2,1714,33.5,31,0,0,0,0,0,0
2397,L51227,L,298.4,307.2,1771,29.9,33,0,0,0,0,0,0
2398,L51228,L,298.4,307.2,1615,33.0,35,0,0,0,0,0,0
2399,L51229,L,298.5,307.2,1701,34.4,37,0,0,0,0,0,0
2400,M10683,M,298.4,307.1,1571,32.5,40,0,0,0,0,0,0
2401,M10684,M,298.4,307.1,1628,46.7,43,0,0,0,0,0,0
2402,M10685,M,298.5,307.2,1494,53.7,46,0,0,0,0,0,0
2403,M10686,M,298.4,307.1,2162,28.2,4,0,0,0,0,0,0
2404,H70489,H,298.4,307.1,1646,51.2,9,0,0,0,0,0,0
2405,H70490,H,298.4,307.1,1734,46.9,14,0,0,0,0,0,0
2406,L51230,L,298.3,307.1,1618,41.8,16,0,0,0,0,0,0
2407,M10687,M,298.3,307.1,1607,55.3,19,1,0,0,1,0,0
2408,L51231,L,298.3,307.1,1740,38.3,21,0,0,0,0,0,0
2409,L51232,L,298.3,307.1,1533,44.0,23,0,0,0,0,0,0
2410,H70491,H,298.3,307.1,1583,41.2,28,0,0,0,0,0,0
2411,M10688,M,298.4,307.2,1735,40.5,31,0,0,0,0,0,0
2412,H70492,H,298.3,307.1,1607,44.6,36,0,0,0,0,0,0
2413,L51233,L,298.2,307.0,1580,40.5,38,0,0,0,0,0,0
2414,M10689,M,298.3,307.1,1569,44.7,41,0,0,0,0,0,0
2415,L51234,L,298.3,307.0,1575,33.3,43,0,0,0,0,0,0
2416,L51235,L,298.3,307.1,1507,33.6,45,0,0,0,0,0,0
2417,L51236,L,298.3,307.1,1532,33.3,47,0,0,0,0,0,0
2418,M10690,M,298.3,307.1,1673,36.4,50,0,0,0,0,0,0
2419,L51237,L,298.3,307.1,1658,50.1,52,0,0,0,0,0,0
2420,H70493,H,298.3,307.1,1901,35.4,57,0,0,0,0,0,0
2421,L51238,L,298.3,307.1,1612,46.5,59,0,0,0,0,0,0
2422,L51239,L,298.3,307.1,1521,42.7,61,0,0,0,0,0,0
2423,M10691,M,298.3,307.1,1670,35.6,64,0,0,0,0,0,0
2424,L51240,L,298.3,307.1,1645,53.1,66,1,0,0,1,0,0
2425,H70494,H,298.3,307.1,2124,47.4,71,1,0,0,1,0,0
2426,M10692,M,298.4,307.2,1734,40.0,74,0,0,0,0,0,0
2427,L51241,L,298.4,307.2,1706,39.2,76,0,0,0,0,0,0
2428,M10693,M,298.4,306.4,1654,40.9,79,0,0,0,0,0,0
2429,M10694,M,298.4,307.2,1796,24.7,82,0,0,0,0,0,0
2430,M10695,M,298.4,307.2,1586,31.8,85,0,0,0,0,0,0
2431,H70495,H,298.4,307.1,1445,44.6,90,0,0,0,0,0,0
2432,M10696,M,298.4,307.1,1921,24.2,93,0,0,0,0,0,0
2433,M10697,M,298.4,307.1,1685,32.5,96,0,0,0,0,0,0
2434,L51242,L,298.4,307.2,1718,36.1,98,0,0,0,0,0,0
2435,M10698,M,298.4,307.1,1247,69.0,101,1,0,0,1,0,0
2436,H70496,H,298.3,307.1,1754,46.7,106,0,0,0,0,0,0
2437,M10699,M,298.4,307.2,1697,51.0,109,1,0,0,1,0,0
2438,M10700,M,298.4,307.1,1551,31.9,112,0,0,0,0,0,0
2439,L51243,L,298.4,307.1,1603,43.6,114,0,0,0,0,0,0
2440,M10701,M,298.3,307.1,1765,22.4,117,0,0,0,0,0,0
2441,H70497,H,298.3,307.1,1553,36.7,122,0,0,0,0,0,0
2442,L51244,L,298.3,307.0,1668,45.1,124,0,0,0,0,0,0
2443,L51245,L,298.2,307.0,1818,25.8,126,0,0,0,0,0,0
2444,M10702,M,298.2,306.9,1659,43.9,129,0,0,0,0,0,0
2445,L51246,L,298.2,307.0,1484,44.8,131,0,0,0,0,0,0
2446,M10703,M,298.2,306.9,1588,34.0,134,0,0,0,0,0,0
2447,L51247,L,298.2,306.9,1682,31.7,136,0,0,0,0,0,0
2448,L51248,L,298.1,306.9,1665,32.8,138,0,0,0,0,0,0
2449,M10704,M,298.1,306.9,1647,36.5,141,0,0,0,0,0,0
2450,M10705,M,298.1,306.8,1643,36.8,144,0,0,0,0,0,0
2451,M10706,M,298.1,306.8,1461,45.1,147,0,0,0,0,0,0
2452,M10707,M,298.1,306.8,1750,34.7,150,0,0,0,0,0,0
2453,M10708,M,298.1,306.8,1623,56.0,153,1,0,0,1,0,0
2454,M10709,M,298.1,306.8,1614,55.9,156,1,0,0,1,0,0
2455,M10710,M,298.1,306.8,1676,42.4,159,0,0,0,0,0,0
2456,M10711,M,298.1,306.8,1642,36.6,162,0,0,0,0,0,0
2457,M10712,M,298.0,306.8,1623,34.7,165,0,0,0,0,0,0
2458,L51249,L,298.0,306.7,1542,43.2,167,0,0,0,0,0,0
2459,L51250,L,298.0,306.7,1763,44.9,169,0,0,0,0,0,0
2460,M10713,M,298.0,306.7,1659,38.0,172,0,0,0,0,0,0
2461,H70498,H,298.0,306.7,1941,36.1,177,0,0,0,0,0,0
2462,M10714,M,298.0,306.7,1629,43.5,180,0,0,0,0,0,0
2463,L51251,L,298.0,306.7,1459,40.7,182,0,0,0,0,0,0
2464,M10715,M,298.0,306.7,1702,34.3,185,0,0,0,0,0,0
2465,L51252,L,298.0,306.7,1657,41.1,187,0,0,0,0,0,0
2466,M10716,M,298.0,306.7,1633,33.9,190,0,0,0,0,0,0
2467,H70499,H,298.0,306.7,1605,32.5,195,0,0,0,0,0,0
2468,M10717,M,298.0,306.7,1701,40.0,198,0,0,0,0,0,0
2469,M10718,M,298.0,306.7,1672,34.3,201,0,0,0,0,0,0
2470,L51253,L,298.0,306.7,1513,32.7,203,1,1,0,0,0,0
2471,L51254,L,298.0,306.8,1704,50.5,205,1,1,0,1,0,0
2472,H70500,H,298.0,306.8,1586,36.1,210,0,0,0,0,0,0
2473,M10719,M,298.0,306.8,1436,58.4,213,1,1,0,0,1,0
2474,M10720,M,298.0,306.8,1740,46.3,216,0,0,0,0,0,0
2475,L51255,L,298.0,306.8,1788,31.8,218,0,0,0,0,0,0
2476,L51256,L,298.0,306.7,1552,51.6,220,1,1,0,0,1,0
2477,L51257,L,298.0,306.8,1575,32.8,222,1,1,0,0,0,0
2478,L51258,L,298.0,306.8,1466,59.7,224,1,0,0,1,1,0
2479,L51259,L,298.1,306.8,1599,42.3,226,0,0,0,0,0,0
2480,H70501,H,298.0,306.8,1731,45.4,231,0,0,0,0,0,0
2481,M10721,M,298.0,306.8,1765,40.3,234,0,0,0,0,0,0
2482,L51260,L,298.0,306.8,1651,42.7,236,0,0,0,0,0,0
2483,L51261,L,298.0,306.7,1720,37.7,238,0,0,0,0,0,0
2484,L51262,L,298.0,306.8,1679,30.7,240,0,0,0,0,0,0
2485,H70502,H,298.0,306.8,1554,43.4,245,0,0,0,0,0,0
2486,L51263,L,298.0,306.8,1462,50.2,247,1,0,0,0,1,0
2487,M10722,M,298.0,306.8,1741,28.1,250,0,0,0,0,0,0
2488,H70503,H,298.0,306.8,1651,55.4,17,1,0,0,1,0,0
2489,L51264,L,298.0,306.8,1993,46.0,19,1,0,0,1,0,0
2490,M10723,M,298.1,306.9,1780,35.6,22,0,0,0,0,0,0
2491,H70504,H,298.1,306.1,1639,35.5,27,0,0,0,0,0,0
2492,L51265,L,298.1,306.9,1561,58.6,29,1,0,0,1,0,0
2493,L51266,L,298.1,306.9,1581,49.4,31,0,0,0,0,0,0
2494,H70505,H,298.1,306.8,1702,51.4,36,1,0,0,1,0,0
2495,H70506,H,298.1,306.8,1707,37.5,41,0,0,0,0,0,0
2496,M10724,M,298.0,306.8,1616,45.6,44,0,0,0,0,0,0
2497,M10725,M,298.1,306.8,1639,43.5,47,0,0,0,0,0,0
2498,L51267,L,298.0,306.8,1552,38.3,49,0,0,0,0,0,0
2499,H70507,H,298.0,306.8,1443,41.1,54,0,0,0,0,0,0
2500,L51268,L,298.0,306.8,1544,51.1,56,0,0,0,0,0,0
2501,L51269,L,298.1,306.8,1549,56.0,58,1,0,0,1,0,0
2502,M10726,M,298.0,306.8,1711,37.5,6,0,0,0,0,0,0
2503,H70508,H,298.1,306.8,1704,26.9,11,0,0,0,0,0,0
2504,H70509,H,298.0,306.8,1522,56.4,16,0,0,0,0,0,0
2505,L51270,L,298.1,306.8,1299,56.6,18,0,0,0,0,0,0
2506,L51271,L,298.0,306.8,1677,44.0,20,0,0,0,0,0,0
2507,H70510,H,298.0,306.8,1576,57.9,25,1,0,0,1,0,0
2508,H70511,H,298.0,306.8,1706,43.3,30,0,0,0,0,0,0
2509,M10727,M,298.0,306.7,1700,30.9,33,0,0,0,0,0,0
2510,M10728,M,298.0,306.8,1821,26.9,36,0,0,0,0,0,0
2511,L51272,L,298.1,306.8,1669,26.8,38,0,0,0,0,0,0
2512,L51273,L,298.1,306.8,1646,40.0,40,0,0,0,0,0,0
2513,L51274,L,298.1,306.8,1696,35.3,42,0,0,0,0,0,0
2514,L51275,L,298.1,306.9,1739,34.2,44,0,0,0,0,0,0
2515,L51276,L,298.2,306.9,1693,38.9,46,0,0,0,0,0,0
2516,H70512,H,298.1,306.8,1648,48.6,51,0,0,0,0,0,0
2517,L51277,L,298.1,306.9,1703,34.5,53,0,0,0,0,0,0
2518,L51278,L,298.1,306.8,1670,32.8,55,0,0,0,0,0,0
2519,M10729,M,298.0,306.7,1756,35.2,58,0,0,0,0,0,0
2520,L51279,L,298.0,306.7,1451,49.2,60,0,0,0,0,0,0
2521,L51280,L,298.1,306.8,1597,39.3,62,0,0,0,0,0,0
2522,M10730,M,298.0,306.8,1779,42.8,65,0,0,0,0,0,0
2523,L51281,L,298.1,306.8,1509,55.5,67,0,0,0,0,0,0
2524,M10731,M,298.1,306.8,1495,68.4,70,1,0,0,1,0,0
2525,H70513,H,298.1,306.8,1742,46.4,75,0,0,0,0,0,0
2526,L51282,L,298.1,306.8,1611,45.4,77,0,0,0,0,0,0
2527,H70514,H,298.0,306.8,1637,28.2,82,0,0,0,0,0,0
2528,H70515,H,298.0,306.7,1739,43.7,87,0,0,0,0,0,0
2529,H70516,H,298.1,306.8,1621,40.6,92,0,0,0,0,0,0
2530,M10732,M,298.1,306.5,1584,48.9,95,0,0,0,0,0,0
2531,M10733,M,298.1,306.8,1492,36.1,98,0,0,0,0,0,0
2532,M10734,M,298.1,306.8,1628,42.0,101,0,0,0,0,0,0
2533,M10735,M,298.1,306.9,1680,46.1,104,0,0,0,0,0,0
2534,L51283,L,298.1,306.8,1512,59.0,106,1,0,0,1,0,0
2535,H70517,H,298.2,306.9,1453,55.6,111,0,0,0,0,0,0
2536,M10736,M,298.2,306.9,1541,52.7,114,0,0,0,0,0,0
2537,M10737,M,298.2,307.0,1557,47.3,117,0,0,0,0,0,0
2538,L51284,L,298.2,306.9,1650,35.7,119,0,0,0,0,0,0
2539,L51285,L,298.2,307.0,1566,47.3,121,0,0,0,0,0,0
2540,M10738,M,298.2,306.9,1840,32.3,124,0,0,0,0,0,0
2541,M10739,M,298.2,306.5,1688,37.9,127,0,0,0,0,0,0
2542,L51286,L,298.2,307.0,1401,57.8,129,0,0,0,0,0,0
2543,L51287,L,298.3,307.0,1628,45.4,131,0,0,0,0,0,0
2544,L51288,L,298.3,307.0,1635,42.3,133,0,0,0,0,0,0
2545,M10740,M,298.3,307.0,1739,43.6,136,0,0,0,0,0,0
2546,L51289,L,298.2,306.9,1641,39.1,138,0,0,0,0,0,0
2547,H70518,H,298.2,306.9,1745,18.4,143,1,0,0,1,0,0
2548,L51290,L,298.2,306.9,1883,27.4,145,0,0,0,0,0,0
2549,L51291,L,298.2,306.9,1522,46.2,147,0,0,0,0,0,0
2550,L51292,L,298.2,306.9,1770,30.8,149,0,0,0,0,0,0
2551,M10741,M,298.2,306.9,1661,38.9,152,0,0,0,0,0,0
2552,L51293,L,298.2,306.9,1669,27.7,154,0,0,0,0,0,0
2553,M10742,M,298.3,307.0,1629,32.8,157,0,0,0,0,0,0
2554,H70519,H,298.3,307.0,1772,40.0,162,0,0,0,0,0,0
2555,L51294,L,298.3,307.0,1644,49.2,164,0,0,0,0,0,0
2556,M10743,M,298.3,307.0,1646,51.2,167,0,0,0,0,0,0
2557,L51295,L,298.3,307.0,1768,32.7,169,0,0,0,0,0,0
2558,L51296,L,298.3,307.0,1665,43.1,171,0,0,0,0,0,0
2559,L51297,L,298.4,307.1,1629,25.7,173,0,0,0,0,0,0
2560,L51298,L,298.4,307.1,1506,40.6,175,0,0,0,0,0,0
2561,M10744,M,298.4,307.1,1739,49.5,178,1,0,0,1,0,0
2562,M10745,M,298.4,307.1,1672,39.3,181,0,0,0,0,0,0
2563,M10746,M,298.4,307.1,1589,53.2,184,0,0,0,0,0,0
2564,M10747,M,298.5,307.1,1769,48.4,187,0,0,0,0,0,0
2565,M10748,M,298.5,307.1,1542,42.4,190,0,0,0,0,0,0
2566,L51299,L,298.5,307.2,1436,37.5,192,0,0,0,0,0,0
2567,L51300,L,298.4,307.1,1515,34.7,194,0,0,0,0,0,0
